ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;Powiat;lat_dec;lon_dec
149180010;Krzyżanowice;Odra (1);49 59 37;18 17 14;;raciborski;49.993611111111115;18.287222222222223
149180020;Chałupki;Odra (1);49 55 19;18 19 40;;kraj morawsko-śląski;49.92194444444444;18.32777777777778
149180030;Łaziska;Olza (114);49 55 28;18 26 35;;wodzisławski;49.92444444444444;18.443055555555556
149180040;Gołkowice;Szotkówka (1148);49 55 33;18 29 47;;wodzisławski;49.92583333333333;18.49638888888889
149180050;Zebrzydowice;Piotrówka (1146);49 52 48;18 36 48;;cieszyński;49.88;18.613333333333333
149180060;Cieszyn;Olza (114);49 44 45;18 37 47;;cieszyński;49.74583333333334;18.629722222222224
149180070;Cieszyn;Młynówka (11448);49 44 46;18 37 53;;cieszyński;49.74611111111111;18.63138888888889
149180080;DROGOMYŚL;Wisła (2);49 53 09;18 44 58;;cieszyński;49.88583333333333;18.749444444444446
149180090;MIZERÓW-BORKI;Pszczynka (2116);49 59 56;18 46 07;;pszczyński;49.99888888888889;18.76861111111111
149180100;SKOCZÓW;Wisła (2);49 48 12;18 47 30;;cieszyński;49.80333333333333;18.791666666666668
149180110;Ustroń-Obłaziec;Wisła (2);49 40 50;18 51 01;;cieszyński;49.68055555555555;18.85027777777778
149180120;Górki Wielkie;Brennica (21114);49 46 21;18 51 09;;cieszyński;49.7725;18.852500000000003
149180130;Istebna;Olza (114);49 34 19;18 53 34;;cieszyński;49.57194444444445;18.892777777777777
149180140;Wisła;Wisła (2);49 37 55;18 54 03;;cieszyński;49.63194444444444;18.90083333333333
149180160;Wisła-Czarne;Wisła (2);49 37 08;18 55 07;;cieszyński;49.61888888888889;18.91861111111111
149180180;Wisła-Czarne (Biała Wisełka);Biała Wisełka (2111152);49 37 05;18 56 08;;cieszyński;49.61805555555556;18.935555555555556
149180200;Wisła-Czarne (Czarna Wisełka);Wisła (2);49 36 27;18 55 34;;cieszyński;49.6075;18.926111111111112
149180210;Zabrzeg;Wisła (2);49 55 31;18 56 07;;bielski;49.92527777777777;18.935277777777777
149180220;Pszczyna;Pszczynka (2116);49 58 45;18 56 45;;pszczyński;49.97916666666667;18.945833333333333
149180230;Podkępie;Wapienica (21128);49 53 44;18 58 39;;bielski;49.89555555555555;18.9775
149180240;Goczałkowice;Wisła (2);49 55 54;18 59 09;;bielski;49.931666666666665;18.985833333333336
149180250;CZECHOWICE-DZIEDZICE;Iłownica (2112);49 54 49;18 59 11;;bielski;49.91361111111111;18.98638888888889
149180300;Olza;Odra (1);49 57 17;18 19 35;;wodzisławski;49.95472222222222;18.32638888888889
149190010;CZECHOWICE-BESTWINA;Biała (2114);49 53 29;19 01 49;;bielski;49.89138888888889;19.030277777777776
149190020;KAMESZNICA;Bystra (213232);49 34 05;19 04 11;;żywiecki;49.56805555555556;19.06972222222222
149190030;MIKUSZOWICE;Biała (2114);49 46 46;19 04 27;;bielski;49.779444444444444;19.074166666666667
149190040;UJSOŁY;Woda Ujsolska (21322);49 29 33;19 07 02;;żywiecki;49.4925;19.11722222222222
149190050;RAJCZA;Soła (2132);49 30 50;19 06 59;;żywiecki;49.513888888888886;19.116388888888892
149190060;JAWISZOWICE;Wisła (2);49 58 21;19 07 19;;oświęcimski;49.972500000000004;19.121944444444445
149190070;ŁODYGOWICE;Żylica (213274);49 43 38;19 08 10;;żywiecki;49.727222222222224;19.13611111111111
149190080;CIĘCINA;Soła (2132);49 37 29;19 08 56;;żywiecki;49.624722222222225;19.148888888888887
149190090;ŻABNICA;Żabniczanka (213234);49 33 53;19 10 49;;żywiecki;49.56472222222222;19.18027777777778
149190100;ŻYWIEC;Soła (2132);49 41 11;19 11 36;;żywiecki;49.686388888888885;19.193333333333335
149190120;CZANIEC-KOBIERNICE;Soła (2132);49 50 54;19 13 40;;bielski;49.848333333333336;19.227777777777778
149190140;ŁĘKAWICA;Łękawka (213278);49 42 42;19 15 44;;żywiecki;49.711666666666666;19.26222222222222
149190150;PEWEL MAŁA;Koszarawa (21324);49 39 31;19 18 20;;żywiecki;49.65861111111111;19.305555555555557
149190160;RUDZE;Wieprzówka (21348);49 57 42;19 26 33;;oświęcimski;49.961666666666666;19.4425
149190170;ZATOR;Skawa (2134);49 59 57;19 26 44;;oświęcimski;49.99916666666667;19.445555555555554
149190180;WADOWICE;Skawa (2134);49 52 38;19 30 40;;wadowicki;49.87722222222222;19.511111111111113
149190200;SUCHA BESKIDZKA;Stryszawka (21346);49 44 36;19 36 04;;suski;49.74333333333333;19.601111111111113
149190210;SUCHA BESKIDZKA;Skawa (2134);49 44 22;19 36 31;;suski;49.739444444444445;19.608611111111113
149190220;SKAWICA DOLNA;Skawica (21344);49 41 10;19 39 49;;suski;49.68611111111111;19.66361111111111
149190230;CZERNICHÓW-PROM;Wisła (2);49 58 53;19 39 47;;krakowski;49.981388888888894;19.663055555555555
149190250;JABŁONKA;Piekielnik (82224);49 28 20;19 41 43;;nowotarski;49.47222222222222;19.69527777777778
149190260;OSIELEC;Skawa (2134);49 41 00;19 44 21;;suski;49.68333333333333;19.739166666666666
149190270;RADZISZÓW;Skawinka (21356);49 56 24;19 48 32;;krakowski;49.94;19.80888888888889
149190280;KONIÓWKA;Dunajec (214);49 23 44;19 49 05;;nowotarski;49.39555555555555;19.818055555555556
149190290;JORDANÓW;Skawa (2134);49 38 11;19 49 48;;suski;49.63638888888889;19.83
149190300;KOŚCIELISKO-KIRY;Kirowa Woda (214112);49 16 33;19 52 05;;tatrzański;49.27583333333333;19.868055555555557
149190310;STRÓŻA;Raba (2138);49 47 49;19 55 29;;myślenicki;49.79694444444444;19.924722222222222
149190320;ZAKOPANE-DOL.STRĄŻYSKA;Młyniska (214122);49 16 34;19 56 08;;tatrzański;49.27611111111111;19.935555555555556
149190340;RABKA 2;Raba (2138);49 36 49;19 56 56;;nowotarski;49.61361111111111;19.948888888888888
149190350;KRZCZONÓW;Krzczonówka (213836);49 44 12;19 57 14;;myślenicki;49.736666666666665;19.953888888888887
149190360;LUDŹMIERZ ;Lepietnica (2141156);49 28 07;19 58 32;;nowotarski;49.468611111111116;19.975555555555555
149190370;LUBIEŃ;Lubieńka (213834);49 43 11;19 58 42;;myślenicki;49.719722222222224;19.97833333333333
149190380;ZAKOPANE-HARENDA;Biały Dunajec (21412);49 18 58;19 58 39;;tatrzański;49.316111111111105;19.9775
149190390;LUDŹMIERZ;Wielki Rogoźnik (214116);49 27 34;19 59 12;;nowotarski;49.45944444444445;19.986666666666668
149190480;Zembrzyce;Paleczka (2134732);49 46 20;19 37 00;;suski;49.77222222222222;19.616666666666667
149190490;Bystra 2;Bystrzanka (21342);49 39 06;19 47 01;;suski;49.651666666666664;19.783611111111114
149190500;Rzyki;Wieprzówka (21348);49 49 25;19 22 36;;wadowicki;49.82361111111111;19.37666666666667
149190510;Brody;Cedron (213568);49 51 59;19 41 41;;wadowicki;49.86638888888889;19.69472222222222
149200010;PORONIN;Poroniec (214128);49 20 14;20 00 11;;tatrzański;49.33722222222222;20.003055555555555
149200020;SZAFLARY;Biały Dunajec (21412);49 25 27;20 01 29;;nowotarski;49.424166666666665;20.02472222222222
149200030;NOWY TARG;Dunajec (214);49 29 04;20 01 52;;nowotarski;49.48444444444444;20.03111111111111
149200040;KASINKA MAŁA;Raba (2138);49 42 17;20 01 57;;limanowski;49.70472222222222;20.0325
149200050;NOWY TARG-KOWANIEC;Dunajec (214);49 29 13;20 03 13;;nowotarski;49.48694444444445;20.053611111111113
149200060;MSZANA DOLNA;Raba (2138);49 39 29;20 03 33;;limanowski;49.658055555555556;20.059166666666666
149200080;MSZANA DOLNA;Mszanka (21382);49 40 29;20 04 46;;limanowski;49.67472222222222;20.079444444444444
149200090;DOBCZYCE;Raba (2138);49 53 01;20 05 10;;myślenicki;49.88361111111111;20.08611111111111
149200100;ŁYSA POLANA;Białka (214154);49 15 49;20 06 54;;tatrzański;49.26361111111111;20.115000000000002
149200110;TRYBSZ 2;Białka (214154);49 25 04;20 07 03;;nowotarski;49.41777777777777;20.1175
149200120;NIEDZICA;Niedziczanka (214172);49 24 41;20 18 08;;nowotarski;49.41138888888889;20.302222222222223
149200130;STRADOMKA;Stradomka (21388);49 55 14;20 18 30;;bocheński;49.92055555555555;20.308333333333334
149200140;SROMOWCE WYŻNE;Dunajec (214);49 24 02;20 21 14;;nowotarski;49.400555555555556;20.35388888888889
149200150;TYLMANOWA;Ochotnica (2141976);49 31 02;20 23 13;;nowotarski;49.51722222222222;20.386944444444445
149200160;KROŚCIENKO;Dunajec (214);49 26 30;20 25 46;;nowotarski;49.44166666666666;20.429444444444446
149200170;PROSZÓWKI;Raba (2138);49 59 47;20 26 18;;bocheński;49.99638888888889;20.438333333333333
149200180;SZCZAWNICA;Grajcarek (214196);49 25 13;20 29 36;;nowotarski;49.42027777777778;20.493333333333336
149200190;GOŁKOWICE;Dunajec (214);49 32 59;20 34 12;;nowosądecki;49.54972222222222;20.57
149200200;JAKUBKOWICE;Łososina (214734);49 44 22;20 37 48;;nowosądecki;49.739444444444445;20.63
149200220;STARY SĄCZ;Poprad (2142);49 34 07;20 39 35;;nowy sącz;49.56861111111112;20.65972222222222
149200230;CZCHÓW;Dunajec (214);49 48 59;20 40 55;;brzeski;49.81638888888889;20.681944444444447
149200240;NOWY SĄCZ;Dunajec (214);49 37 38;20 41 14;;nowy sącz;49.62722222222222;20.68722222222222
149200250;NOWY SĄCZ;Kamienica (21432);49 37 31;20 41 45;;nowy sącz;49.625277777777775;20.695833333333333
149200260;NOWY SĄCZ;Łubinka (21434);49 38 07;20 42 17;;nowy sącz;49.63527777777778;20.704722222222223
149200270;ŁABOWA;Kamienica (21432);49 31 35;20 51 32;;nowosądecki;49.52638888888889;20.85888888888889
149200280;ZGŁOBICE;Dunajec (214);49 58 30;20 52 47;;tarnowski;49.975;20.879722222222224
149200290;MUSZYNA-MILIK;Poprad (2142);49 21 00;20 53 07;;nowosądecki;49.35;20.885277777777777
149200300;MUSZYNA;Poprad (2142);49 20 22;20 53 31;;nowosądecki;49.339444444444446;20.891944444444444
149200310;GRYBÓW;Biała (2148);49 37 26;20 56 45;;nowosądecki;49.62388888888889;20.945833333333333
149200320;KOSZYCE WIELKIE;Biała (2148);49 59 50;20 56 58;;tarnów;49.99722222222222;20.949444444444445
149200330;CIĘŻKOWICE;Biała (2148);49 47 32;20 58 25;;tarnowski;49.79222222222222;20.973611111111108
149200520;Pierzchów;Królewski Potok (213892);49 56 03;20 16 48;;wielicki;49.93416666666666;20.279999999999998
149200530;Skrzynka;Krzyworzeka (213874);49 52 29;20 07 58;380.0;myślenicki;49.874722222222225;20.13277777777778
149200540;Gdów 2;Raba (2138);49 54 05;20 12 42;;wielicki;49.90138888888889;20.211666666666666
149209990;Piekiełko;Łososina (214734);49 44 58;20 20 45;;limanowski;49.74944444444444;20.34583333333333
149210010;ROPA;Ropa (2182);49 35 09;21 02 47;;gorlicki;49.58583333333333;21.04638888888889
149210020;GORLICE;Sękówka (21826);49 39 17;21 10 13;;gorlicki;49.65472222222222;21.17027777777778
149210030;KLĘCZANY;Ropa (2182);49 42 05;21 13 00;;gorlicki;49.70138888888889;21.216666666666665
149210040;ŁABUZIE;Wisłoka (218);49 59 16;21 18 35;;dębicki;49.98777777777778;21.309722222222224
149210050;KRAJOWICE;Wisłoka (218);49 46 20;21 24 45;;jasielski;49.77222222222222;21.412499999999998
149210060;TOPOLINY;Ropa (2182);49 43 29;21 26 36;;jasielski;49.724722222222226;21.443333333333335
149210070;ŻÓŁKÓW;Wisłoka (218);49 43 48;21 27 33;;jasielski;49.730000000000004;21.459166666666665
149210080;JASŁO;Jasiołka (2184);49 45 01;21 28 23;;jasielski;49.750277777777775;21.473055555555554
149210090;KREMPNA-KOTAŃ;Wisłoka (218);49 30 59;21 29 03;;jasielski;49.51638888888889;21.484166666666667
149210100;ZBOISKA;Jasiołka (2184);49 34 28;21 41 54;;krośnieński;49.574444444444445;21.698333333333334
149210110;KROSNO;Wisłok (226);49 41 38;21 46 29;;krosno;49.693888888888885;21.77472222222222
149210120;GODOWA;Stobnica (2264);49 50 55;21 48 42;;strzyżowski;49.84861111111111;21.811666666666667
149210130;ŻARNOWA;Wisłok (226);49 52 40;21 49 03;;strzyżowski;49.87777777777778;21.8175
149210140;ISKRZYNIA;Morwawa (2262);49 40 38;21 51 52;;krośnieński;49.67722222222222;21.864444444444445
149210150;PUŁAWY;Wisłok (226);49 29 24;21 54 24;;krośnieński;49.49;21.906666666666666
149210160;SIENIAWA;Wisłok (226);49 34 04;21 55 48;;krośnieński;49.56777777777778;21.93
149210180;Kunkowa;Przysłopianka (218232);49 32 57;21 07 31;;gorlicki;49.549166666666665;21.12527777777778
149210190;Uście Gorlickie;Ropa (2182);49 31 11;21 08 27;;gorlicki;49.51972222222222;21.140833333333333
149210200;Uście Gorlickie;Zdynia (218218);49 31 03;21 08 37;;gorlicki;49.5175;21.14361111111111
149210210;Pastwiska;Wisłok (226);49 31 20;21 55 42;;sanocki;49.52222222222222;21.928333333333335
149210450;Darów;Wisłok (226);49 26 37;21 54 38;;krośnieński;49.44361111111111;21.910555555555554
149210460;Odrzechowa;Odrzechowski (226156);49 32 45;21 57 05;;sanocki;49.545833333333334;21.95138888888889
149210470;Miejsce Piastowe;Lubatówka (22632);49 37 52;21 46 50;;krośnieński;49.63111111111111;21.780555555555555
149210480;Wisłok Wielki;Wisłok (226);49 24 02;21 58 46;;sanocki;49.400555555555556;21.979444444444443
149220010;NOWOSIELCE;Pielnica (22618);49 34 01;22 04 15;;sanocki;49.566944444444445;22.070833333333333
149220020;SZCZAWNE;Osława (222);49 24 13;22 09 01;;sanocki;49.40361111111111;22.150277777777777
149220030;OLCHOWCE;San (22);49 33 22;22 13 07;;sanocki;49.55611111111111;22.21861111111111
149220040;DYNÓW;San (22);49 48 03;22 14 39;;rzeszowski;49.80083333333333;22.24416666666667
149220050;ZAGÓRZ;Osława (222);49 30 48;22 16 08;;sanocki;49.513333333333335;22.26888888888889
149220060;LESKO;San (22);49 28 09;22 19 20;;leski;49.469166666666666;22.322222222222223
149220070;HOCZEW;Hoczewka (2218);49 25 26;22 19 42;;leski;49.42388888888889;22.328333333333333
149220080;CISNA;Solinka (22134);49 12 47;22 20 00;;leski;49.213055555555556;22.333333333333332
149220100;TERKA;Solinka (22134);49 17 59;22 25 45;;leski;49.29972222222222;22.429166666666667
149220110;KALNICA;Wetlina (221346);49 11 20;22 25 45;;leski;49.18888888888888;22.429166666666667
149220130;ZATWARNICA;San (22);49 14 06;22 33 47;;bieszczadzki;49.235;22.563055555555557
149220140;POLANA;Czarna (22132);49 18 09;22 34 27;;bieszczadzki;49.302499999999995;22.574166666666667
149220150;DWERNIK;San (22);49 13 07;22 37 58;;bieszczadzki;49.218611111111116;22.63277777777778
149220160;RYBOTYCZE;Wiar (224);49 39 16;22 38 18;;przemyski;49.654444444444444;22.638333333333332
149220170;KROŚCIENKO;Strwiąż (76);49 28 23;22 39 46;;bieszczadzki;49.473055555555554;22.662777777777777
149220180;STUPOSIANY;Wołosaty (22114);49 11 09;22 41 01;;bieszczadzki;49.18583333333333;22.683611111111112
149220190;PRZEMYŚL;San (22);49 47 05;22 46 02;;przemyśl;49.78472222222222;22.76722222222222
149220200;KRÓWNIKI;Wiar (224);49 46 01;22 49 23;;przemyski;49.76694444444444;22.823055555555555
149220210;NIENOWICE;Wisznia (2252);49 56 16;22 55 01;;jarosławski;49.937777777777775;22.916944444444447
149229998;Kańczuga;Mleczka (2268);49 58 48;22 25 14;;przeworski;49.980000000000004;22.420555555555556
149229999;Manasterz;Mleczka (2268);49 55 39;22 20 16;;przeworski;49.927499999999995;22.337777777777777
149230020;BUDZYŃ;Szkło (2254);49 59 05;23 07 20;;jarosławski;49.984722222222224;23.122222222222224
150140010;Porajów;Nysa Łużycka (174);50 53 14;14 49 17;;zgorzelec;50.88722222222222;14.821388888888889
150140020;Sieniawka;Nysa Łużycka (174);50 53 47;14 50 13;;zgorzelecki;50.896388888888886;14.836944444444445
150140030;Turoszów;Miedzianka (17416);50 56 20;14 55 04;;zgorzelecki;50.93888888888888;14.917777777777777
150140100;BOGATYNIA;Miedzianka (17416);50 53 32;14 59 42;;zgorzelecki;50.89222222222222;14.995
150140140;Kopaczów;Lubota (174134);50 52 20;14 49 43;;zgorzelecki;50.87222222222222;14.82861111111111
150150010;Mirsk;Kwisa (166);50 59 22;15 23 02;;lwówecki;50.989444444444445;15.383888888888889
150150020;Mirsk;Czarny Potok (16632);50 59 12;15 23 02;;lwówecki;50.986666666666665;15.383888888888889
150150030;Jakuszyce;Kamienna (162);50 49 21;15 26 24;;karkonoski;50.822500000000005;15.44
150150040;Barcinek;Kamienica (163332);50 56 38;15 36 14;;karkonoski;50.943888888888885;15.60388888888889
150150050;Piechowice;Kamienna (162);50 51 00;15 35 18;;karkonoski;50.85;15.588333333333335
150150060;Pilchowice;Bóbr (16);50 57 50;15 38 26;;lwówecki;50.96388888888889;15.640555555555554
150150070;Jelenia Góra;Kamienna (162);50 53 55;15 43 20;;jelenia góra;50.89861111111111;15.722222222222223
150150080;Jelenia Góra;Bóbr (16);50 54 39;15 43 17;;jelenia góra;50.91083333333333;15.721388888888889
150150090;Łomnica;Łomnica (1618);50 52 35;15 48 11;;karkonoski;50.87638888888889;15.803055555555556
150150100;Wojanów;Bóbr (16);50 52 14;15 49 37;;karkonoski;50.870555555555555;15.826944444444445
150150110;Kowary;Jedlica (16188);50 47 41;15 50 03;;karkonoski;50.79472222222222;15.834166666666667
150150120;Bukówka;Bóbr (16);50 42 46;15 57 27;;kamiennogórski;50.71277777777778;15.9575
150150130;Błażkowa;Bóbr (16);50 44 22;15 59 11;;kamiennogórski;50.739444444444445;15.986388888888888
150150190;Podgórzyn;Podgórna (16288);50 49 13;15 41 01;;karkonoski;50.82027777777778;15.68361111111111
150150200;Sosnówka;Sośniak (16288832);50 49 20;15 43 09;;karkonoski;50.82222222222222;15.719166666666666
150150230;Opawa;Bóbr (16);50 42 05;15 55 32;;kamiennogórski;50.70138888888889;15.925555555555555
150159997;Miszkowice;Złotna (161152);50 42 52;15 55 44;;kamiennogórski;50.714444444444446;15.928888888888888
150160010;Kamienna Góra;Bóbr (16);50 47 11;16 02 10;;kamiennogórski;50.78638888888889;16.03611111111111
150160020;Świebodzice;Pełcznica (13486);50 51 37;16 18 49;;świdnicki;50.86027777777778;16.31361111111111
150160030;Chwaliszów;Strzegomka (1348);50 52 40;16 13 59;;wałbrzyski;50.87777777777778;16.233055555555556
150160040;Kudowa-Zdrój-Zakrze;Klikawa (946);50 25 51;16 14 38;;kłodzki;50.43083333333333;16.24388888888889
150160060;Jugowice;Bystrzyca (134);50 43 59;16 24 12;;wałbrzyski;50.73305555555556;16.403333333333332
150160070;Lubachów;Bystrzyca (134);50 45 57;16 25 52;;świdnicki;50.76583333333333;16.43111111111111
150160080;Tłumaczów;Ścinawka (122);50 33 07;16 26 10;;kłodzki;50.551944444444445;16.43611111111111
150160090;Łażany;Strzegomka (1348);50 57 11;16 29 33;;świdnicki;50.95305555555556;16.4925
150160100;Gorzuchów;Ścinawka (122);50 29 07;16 34 16;;kłodzki;50.48527777777778;16.57111111111111
150160110;Szalejów Dolny;Bystrzyca Dusznicka (1218);50 25 11;16 36 17;;kłodzki;50.41972222222222;16.604722222222225
150160120;Krasków;Bystrzyca (134);50 54 56;16 35 02;;świdnicki;50.91555555555556;16.583888888888886
150160130;Mościsko;Piława (1344);50 46 55;16 35 03;;dzierżoniowski;50.78194444444444;16.584166666666665
150160140;Dzierżoniów;Piława (1344);50 43 33;16 38 46;;dzierżoniowski;50.725833333333334;16.64611111111111
150160150;Bystrzyca Kłodzka;Bystrzyca (1214);50 17 47;16 38 55;;kłodzki;50.296388888888885;16.648611111111112
150160160;Mietków;Bystrzyca (134);50 58 06;16 39 02;;wrocławski;50.968333333333334;16.650555555555552
150160170;Bystrzyca Kłodzka;Nysa Kłodzka (12);50 17 37;16 38 54;;kłodzki;50.29361111111111;16.648333333333333
150160180;Kłodzko;Nysa Kłodzka (12);50 26 33;16 39 31;;kłodzki;50.442499999999995;16.65861111111111
150160190;Międzylesie;Nysa Kłodzka (12);50 09 20;16 39 51;;kłodzki;50.15555555555555;16.664166666666667
150160200;Żelazno;Biała Lądecka (1216);50 22 23;16 40 26;;kłodzki;50.37305555555555;16.67388888888889
150160210;Wilkanów;Wilczka (1212);50 15 55;16 39 44;;kłodzki;50.265277777777776;16.66222222222222
150160220;Bardo;Nysa Kłodzka (12);50 30 16;16 44 23;;ząbkowicki;50.504444444444445;16.739722222222223
150160230;Lądek-Zdrój;Biała Lądecka (1216);50 20 48;16 52 13;;kłodzki;50.34666666666667;16.87027777777778
150160250;Białobrzezie;Ślęza (1336);50 48 08;16 53 32;;strzeliński;50.80222222222222;16.892222222222223
150160270;Kamieniec Ząbkowicki;Budzówka (1232);50 31 56;16 51 54;;ząbkowicki;50.532222222222224;16.865000000000002
150160280;Borów;Ślęza (1336);50 53 20;16 59 26;;strzeliński;50.888888888888886;16.990555555555556
150160290;Gniechowice;Czarna Woda (1346);50 59 15;16 49 45;;wrocławski;50.987500000000004;16.829166666666666
150160330;Szczytna;Kamienny Potok (12184);50 24 56;16 26 35;;kłodzki;50.41555555555556;16.443055555555556
150160340;Sarny;Włodzica (1224);50 32 52;16 27 57;;kłodzki;50.547777777777775;16.465833333333332
150160350;Szalejów Górny;Bystrzyca Dusznicka (1218);50 25 06;16 32 14;;kłodzki;50.41833333333333;16.537222222222223
150160360;Starków;Duna Dolna (121584);50 22 39;16 34 48;;kłodzki;50.3775;16.58
150160370;Topolice;Duna Górna (12158);50 22 01;16 36 33;;kłodzki;50.36694444444444;16.609166666666667
150160380;Krosnowice;Duna Górna (12158);50 23 01;16 37 43;;kłodzki;50.38361111111111;16.628611111111113
150160390;Roztoki Bystrzyckie;Goworówka (12114);50 11 27;16 40 20;;kłodzki;50.19083333333333;16.672222222222224
150160400;Boboszów;Nysa Kłodzka (12);50 06 53;16 41 30;;kłodzki;50.11472222222223;16.691666666666666
150160410;Gajnik;Cieszyca (121144);50 11 37;16 42 14;;kłodzki;50.19361111111111;16.703888888888887
150160420;Goworów;Goworówka (12114);50 10 44;16 42 43;;kłodzki;50.178888888888885;16.711944444444445
150160430;Domanice;Bystrzyca (134);50 56 55;16 35 11;;wrocławski;50.948611111111106;16.586388888888887
150169999;Sędzisław;Bóbr (16);50 49 10;16 02 43;;kamiennogórski;50.81944444444445;16.04527777777778
150170010;Zborowice;Oława (1334);50 48 20;17 10 14;;strzeliński;50.80555555555555;17.170555555555556
150170030;Oława;Oława (1334);50 56 52;17 17 34;;oławski;50.94777777777777;17.29277777777778
150170040;Oława;Odra (1);50 56 47;17 18 23;;oławski;50.94638888888888;17.30638888888889
150170050;Biała Nyska;Biała Głuchołaska (12598);50 26 01;17 17 51;;nyski;50.433611111111105;17.297500000000003
150170060;Nysa;Nysa Kłodzka (12);50 28 52;17 20 30;;nyski;50.48111111111111;17.341666666666665
150170070;Głuchołazy;Biała Głuchołaska (12598);50 18 58;17 22 46;;nyski;50.316111111111105;17.379444444444445
150170080;Jarnołtówek;Złoty Potok (117644);50 17 09;17 25 41;;nyski;50.28583333333333;17.428055555555556
150170090;Brzeg;Odra (1);50 51 56;17 28 10;;brzeski;50.86555555555556;17.46944444444444
150170100;Kopice;Nysa Kłodzka (12);50 38 44;17 28 42;;brzeski;50.64555555555555;17.47833333333333
